fichier,variance_avg_area,rms_avg_area,marge_left_pred,marge_top_pred,marge_right_pred,marge_bottom_pred,marge_left_gt,marge_top_gt,marge_right_gt,marge_bottom_gt,stretch
v5a,24422534205.114346,168162.39516834138,11.756713384160742,5.794551867612302,8.930911654846359,8.539670803782547,11.975849750591,6.073535035460975,10.035559952718673,8.539229858156036,1.155250689596209
v5a_synth,36377493331.94656,206594.55890738723,11.990722610922356,5.502686237864081,8.86596643203881,8.059444344660216,12.234018861650465,5.91166320388349,10.05675822815536,8.832421456310673,1.1457440197443791
v5m,37436101107.07999,206111.73359526723,18.168258829787238,7.8480669976359465,12.041178936170214,10.647328534278957,17.099191390070928,8.068845957446806,11.99006576832152,10.344999645390088,1.1310650096804573
v5m_synth,55228396253.88709,252372.0398691404,21.24030186334952,8.009249004854366,14.387173810679625,9.74137650485437,20.874960735436886,8.375230339805823,14.521352402912619,10.118619150485443,1.1275652249116916
v6a,26216428665.669407,172557.20151341663,10.38805971261264,3.4714379279279166,7.755489009009067,6.523436644144168,10.51937865990991,4.729568558558546,9.205454009009026,6.368316959459459,1.1260924363637552
v6a_synth,35150091245.79378,202434.7519695502,10.659421772941192,3.2020278352941145,7.755492047058881,6.209593647058851,11.110532779999994,4.654208894117637,9.219510611764708,7.0305162352941135,1.1196608486656023
v6m,37372019655.44134,204512.99664778865,15.578313444594592,4.922355563063064,11.754397702702688,7.31654596846846,15.14778358108109,6.206009932432432,11.931097927927942,7.199211193693696,1.1057405335215689
v6m_synth,49943658750.304436,239673.86229929863,18.833791693396222,4.975622712264155,13.151775283018868,7.254103301886785,18.311675077830174,6.423508396226412,13.408629599056614,7.62565589622642,1.1052256078441354
